# _tick,_time,frames,total_episodes,episode_wins,interactions,visited_states,mean_episode_length,mean_episode_return,episode_return_std,total_loss,pg_loss,baseline_loss,entropy_loss,state_counts,change_counts,state_counts_std,change_counts_std
84,1715467239.481626,268800,9.0,0.0,1.125,0,288.0,0.0,0.0,-1.489184021949768,-1.3937095403671265,0.001725096721202135,-0.09719958901405334,1.0,1.0,0.0,0.0
85,1715467267.3064744,272000,11.0,0.0,1.28125,0,288.0,0.0,0.0,-0.4235876202583313,-0.32667791843414307,0.0002909864124376327,-0.09720069169998169,1.0,1.0,0.0,0.0
86,1715467293.3275418,275200,15.0,0.0625,1.0625,0,252.2666778564453,0.125,0.33008554577827454,3.551575183868408,3.2994961738586426,0.34928226470947266,-0.09720315784215927,1.0,1.0,0.0,0.0
87,1715467316.4507945,278400,11.0,0.03125,0.9375,0,264.0909118652344,0.08380682021379471,0.2779557704925537,0.9658035039901733,0.8124685287475586,0.2505442500114441,-0.09720930457115173,1.0,1.0,0.0,0.0
88,1715467344.448718,281600,13.0,0.03125,1.3125,0,280.923095703125,0.029807692393660545,0.10747315734624863,-1.7432299852371216,-1.6877588033676147,0.041722074151039124,-0.09719321131706238,1.0,1.0,0.0,0.0
89,1715467372.0607882,284800,9.0,0.0,1.125,0,288.0,0.0,0.0,-1.6055582761764526,-1.5106875896453857,0.002335206139832735,-0.09720592945814133,1.0,1.0,0.0,0.0
90,1715467399.2236207,288000,10.0,0.0,0.8125,0,288.0,0.0,0.0,-0.5669543147087097,-0.47018224000930786,0.0004379051097203046,-0.09720999747514725,1.0,1.0,0.0,0.0
91,1715467423.8347797,291200,16.0,0.0625,1.4375,0,267.625,0.076171875,0.20884376764297485,2.698007583618164,2.620103359222412,0.17511433362960815,-0.09721014648675919,1.0,1.0,0.0,0.0
92,1715467450.4819167,294400,9.0,0.0,1.375,0,288.0,0.0,0.0,-2.2296206951141357,-2.1366262435913086,0.004183123353868723,-0.09717756509780884,1.0,1.0,0.0,0.0
93,1715467478.0644495,297600,13.0,0.0,1.5,0,288.0,0.0,0.0,-0.602168083190918,-0.5055592656135559,0.0005832925671711564,-0.09719207882881165,1.0,1.0,0.0,0.0
94,1715467503.0382786,300800,10.0,0.0,0.90625,0,288.0,0.0,0.0,-0.45354628562927246,-0.3566824495792389,0.0003279683005530387,-0.09719182550907135,1.0,1.0,0.0,0.0
95,1715467527.4041712,304000,9.0,0.0,0.9375,0,288.0,0.0,0.0,0.002601936459541321,0.09944361448287964,0.0003461837477516383,-0.09718786180019379,1.0,1.0,0.0,0.0
96,1715467554.5904565,307200,14.0,0.0,1.09375,0,288.0,0.0,0.0,-0.13037367165088654,-0.03338710963726044,0.00020312656124588102,-0.09718968719244003,1.0,1.0,0.0,0.0
97,1715467580.804517,310400,9.0,0.0,1.40625,0,288.0,0.0,0.0,-0.14002563059329987,-0.04302305355668068,0.00018703962268773466,-0.09718962013721466,1.0,1.0,0.0,0.0
98,1715467607.1571255,313600,11.0,0.0,0.625,0,288.0,0.0,0.0,-0.050995033234357834,0.04598759859800339,0.00020837537886109203,-0.09719100594520569,1.0,1.0,0.0,0.0
99,1715467631.168842,316800,13.0,0.03125,1.65625,0,279.4615478515625,0.03437500074505806,0.12394082546234131,1.2308932542800903,1.269060492515564,0.05902741476893425,-0.09719472378492355,1.0,1.0,0.0,0.0
100,1715467658.4357197,320000,9.0,0.0,1.5625,0,288.0,0.0,0.0,-1.0142264366149902,-0.9180169701576233,0.0009757650550454855,-0.09718523919582367,1.0,1.0,0.0,0.0
101,1715467684.7301624,323200,14.0,0.0,1.75,0,288.0,0.0,0.0,-0.3339211046695709,-0.2369343787431717,0.00020008409046567976,-0.09718679636716843,1.0,1.0,0.0,0.0
102,1715467709.3668582,326400,9.0,0.0,1.46875,0,288.0,0.0,0.0,-0.30993103981018066,-0.212998628616333,0.00025264796568080783,-0.09718506038188934,1.0,1.0,0.0,0.0
103,1715467733.5998373,329600,10.0,0.0,0.8125,0,288.0,0.0,0.0,-0.12879587709903717,-0.03177294880151749,0.00016544996469747275,-0.09718837589025497,1.0,1.0,0.0,0.0
104,1715467759.2067726,332800,14.0,0.03125,1.28125,0,278.2857360839844,0.03750000149011612,0.14031213521957397,1.360649824142456,1.3835275173187256,0.074309803545475,-0.09718747437000275,1.0,1.0,0.0,0.0
