# _tick,_time,frames,total_episodes,episode_wins,interactions,visited_states,mean_episode_length,mean_episode_return,episode_return_std,total_loss,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_state_rewards,mean_change_rewards,state_counts,change_counts,state_counts_std,change_counts_std
119,1715511946.5062728,380800,10.0,0.09375,1.375,0,257.20001220703125,0.1262500137090683,0.2382262498140335,3.212263584136963,3.136204242706299,0.17257246375083923,-0.09651303291320801,0.000394531263737008,0.0001000624688458629,0.0004945937544107437,0.34023889899253845,0.09666728973388672,1634.34375,1209.75,42.84999084472656,410.7651672363281
120,1715511976.6299305,384000,14.0,0.0625,1.65625,0,261.14288330078125,0.098214291036129,0.2505244314670563,1.4025373458862305,1.2572157382965088,0.24185878038406372,-0.09653715044260025,0.00042968749767169356,0.00012583892385009676,0.0005555264069698751,0.35856613516807556,0.11324996501207352,1650.0625,1223.4375,43.170188903808594,410.0343322753906
121,1715512002.721394,387200,7.0,0.0,1.5625,0,288.0,0.0,0.0,-4.058358669281006,-3.976386785507202,0.014626367017626762,-0.09659794718027115,0.0,0.00010718628618633375,0.00010718628618633375,0.3320067524909973,0.10422425717115402,1661.1875,1237.03125,43.372650146484375,413.6683044433594
122,1715512032.37651,390400,15.0,0.0625,1.5625,0,281.0666809082031,0.03500000014901161,0.09505197405815125,0.12670601904392242,0.19316703081130981,0.03020373359322548,-0.09666474163532257,0.00016406248323619366,0.00011489059397717938,0.00027895308448933065,0.36061397194862366,0.10467728227376938,1672.875,1244.9375,43.47527313232422,413.90118408203125
123,1715512057.5087242,393600,10.0,0.0,1.1875,0,288.0,0.0,0.0,-1.2708420753479004,-1.1757605075836182,0.0015346010914072394,-0.09661614149808884,0.0,0.00010545688564889133,0.00010545688564889133,0.3640035092830658,0.1051311120390892,1682.125,1255.125,43.86980438232422,417.6143798828125
124,1715512086.6357806,396800,14.0,0.03125,1.90625,0,279.7857360839844,0.03281250223517418,0.12277313321828842,-0.12741334736347198,-0.049615293741226196,0.01881355606019497,-0.09661160409450531,0.00014355468738358468,0.00011291146074654534,0.00025646615540608764,0.34853696823120117,0.10719742625951767,1695.78125,1262.5,43.37678909301758,418.09136962890625
125,1715512114.7314916,400000,7.0,0.0,1.28125,0,288.0,0.0,0.0,-0.34339970350265503,-0.2472936064004898,0.0004744569305330515,-0.09658054262399673,0.0,0.00011015532072633505,0.00011015532072633505,0.3512159585952759,0.1032186970114708,1704.90625,1276.21875,44.33789825439453,419.803466796875
126,1715512142.70457,403200,16.0,0.03125,1.375,0,283.4375,0.0205078125,0.08203125,-0.0961947962641716,-0.00984203815460205,0.010228457860648632,-0.09658121317625046,0.00010253905929857865,9.66147126746364e-05,0.00019915377197321504,0.333170622587204,0.10942334681749344,1715.78125,1284.5625,44.308685302734375,421.1116638183594
127,1715512171.1987863,406400,10.0,0.09375,1.34375,0,234.5,0.19718751311302185,0.3405674993991852,3.9073429107666016,3.7181851863861084,0.2856895327568054,-0.09653184562921524,0.0006162109202705324,0.00011114930384792387,0.0007273603114299476,0.34597015380859375,0.10445157438516617,1727.875,1292.5625,44.2764892578125,423.6246032714844
128,1715512200.2874029,409600,14.0,0.03125,1.84375,0,279.64288330078125,0.03325892984867096,0.12444350868463516,-2.7904982566833496,-2.715942144393921,0.02188238501548767,-0.09643841534852982,0.0001455078017897904,0.00010005658987211064,0.00024556441348977387,0.31860533356666565,0.1073378175497055,1736.21875,1305.21875,44.59075927734375,424.57366943359375
129,1715512227.5741544,412800,8.0,0.0,1.09375,0,288.0,0.0,0.0,-0.8010560274124146,-0.7057040929794312,0.0009925353806465864,-0.0963444858789444,0.0,9.468265488976613e-05,9.468265488976613e-05,0.30928975343704224,0.0970769077539444,1745.4375,1311.21875,44.56952667236328,427.360107421875
130,1715512255.5265553,416000,14.0,0.0625,2.0,0,277.7857360839844,0.04620536044239998,0.13761021196842194,1.4792834520339966,1.5095312595367432,0.06607305258512497,-0.09632082283496857,0.00020214843971189111,0.0001216773089254275,0.0003238256904296577,0.34993976354599,0.11341733485460281,1757.78125,1325.5625,45.3750114440918,427.52264404296875
131,1715512283.5047004,419200,12.0,0.0625,1.78125,0,266.0,0.08541666716337204,0.2149149775505066,1.2424147129058838,1.1898329257965088,0.14882764220237732,-0.0962458997964859,0.000320312479743734,0.00010528066195547581,0.00042559311259537935,0.3575872778892517,0.09757211804389954,1766.46875,1330.46875,45.27668762207031,430.5090026855469
132,1715512312.8724873,422400,11.0,0.0625,1.78125,0,277.4545593261719,0.05113636702299118,0.1365254670381546,-2.2712864875793457,-2.2068030834198,0.031682249158620834,-0.09616564959287643,0.00017578124243300408,0.00012436216638889164,0.00030014337971806526,0.3782694637775421,0.11005229502916336,1780.75,1346.375,45.5599479675293,430.2924499511719
133,1715512341.0866022,425600,12.0,0.03125,1.78125,0,277.25,0.04192708432674408,0.1452396810054779,0.2998858392238617,0.35673046112060547,0.03925088793039322,-0.0960954949259758,0.00015722656098660082,0.00011953746434301138,0.0002767640398815274,0.3544329106807709,0.1127760112285614,1795.75,1351.0,45.07542037963867,433.40997314453125
134,1715512368.971365,428800,10.0,0.0,1.0,0,288.0,0.0,0.0,-1.036034107208252,-0.9409928321838379,0.0011152733350172639,-0.09615648537874222,0.0,9.271079761674628e-05,9.271079761674628e-05,0.316609650850296,0.09823089092969894,1797.90625,1362.71875,45.96426773071289,434.6571044921875
135,1715512397.6027193,432000,13.0,0.0625,1.09375,0,258.5384826660156,0.1074519231915474,0.2673276662826538,3.206645965576172,3.0818021297454834,0.2209509015083313,-0.09610704332590103,0.0004365234053693712,0.00010365317575633526,0.0005401765229180455,0.3212532699108124,0.10324989259243011,1815.4375,1377.15625,45.683006286621094,435.683837890625
136,1715512425.1948612,435200,9.0,0.0625,1.75,0,254.44444274902344,0.12708333134651184,0.3161157965660095,-1.6968529224395752,-1.6968207359313965,0.09621649980545044,-0.09624864161014557,0.00035742184263654053,9.885234612738714e-05,0.00045627422514371574,0.3278617858886719,0.1026330292224884,1816.84375,1381.25,46.31951141357422,438.0296325683594
137,1715512453.897057,438400,17.0,0.0625,1.3125,0,274.4117736816406,0.05422794073820114,0.18846413493156433,0.6735457181930542,0.6564826965332031,0.1130935549736023,-0.09603052586317062,0.0002880859246943146,0.00012098498700652272,0.000409070955356583,0.3346346318721771,0.11007793247699738,1835.71875,1394.84375,46.501251220703125,439.197998046875
138,1715512482.3573694,441600,10.0,0.03125,1.125,0,263.3999938964844,0.08687499910593033,0.2747228741645813,-0.32710182666778564,-0.3543406128883362,0.12306812405586243,-0.09582935273647308,0.0002714843722060323,0.00010758027201518416,0.00037906464422121644,0.31867003440856934,0.10508784651756287,1841.78125,1403.5625,46.71678924560547,442.10821533203125
